idx,n,steps,inTrust,outTrust,epsilon,sigma,evidenceWeight,truth,CA_spec,EA_spec,avg,std,delta
41,200,365,1.2,0.4,0.02,0,0.05,0.6,U(0.4,0.3,0.5999999992659394,3.397536418447834e-16,6.661338147750939e-16
42,200,365,1.2,0.4,0.02,0,0.05,0.6,U(0.4,0.8,0.5999999992721,6.618642771977825e-16,8.881784197001252e-16
43,200,365,1.2,0.4,0.02,0,0.05,0.6,U(0.4,N(0.6,0.599999999244158,1.986709902191751e-15,5.551115123125783e-16
44,200,365,1.2,0.4,0.02,0,0.05,0.6,U(0.4,0.15),0.5999999992452842,1.3710242980056707e-16,5.551115123125783e-16
45,200,365,1.2,0.4,0.02,0,0.05,0.6,0.9),0.3,0.5999999992749432,1.8091526192028562e-15,3.3306690738754696e-16
46,200,365,1.2,0.4,0.02,0,0.05,0.6,0.9),0.8,0.5999999992356922,1.2539132313356572e-15,4.440892098500626e-16
47,200,365,1.2,0.4,0.02,0,0.05,0.6,0.9),N(0.6,0.5999999993102998,2.030312293300986e-15,4.440892098500626e-16
48,200,365,1.2,0.4,0.02,0,0.05,0.6,0.9),0.15),0.5999999992715025,1.4810350180944256e-15,6.661338147750939e-16
49,200,365,1.2,0.4,0.02,0,0.05,0.7,0.3,0.3,0.6999999985219054,1.2147179389934992e-15,3.3306690738754696e-16
50,200,365,1.2,0.4,0.02,0,0.05,0.7,0.3,0.8,0.6999999985109934,1.2263819224085273e-15,5.551115123125783e-16
51,200,365,1.2,0.4,0.02,0,0.05,0.7,0.3,N(0.6,0.6999999985252048,1.8026685473055786e-15,5.551115123125783e-16
52,200,365,1.2,0.4,0.02,0,0.05,0.7,0.3,0.15),0.6999999985208557,1.2692282104187625e-15,6.661338147750939e-16
53,200,365,1.2,0.4,0.02,0,0.05,0.7,0.6,0.3,0.6999999985676035,6.964824670820521e-16,6.661338147750939e-16
54,200,365,1.2,0.4,0.02,0,0.05,0.7,0.6,0.8,0.6999999984837731,1.6963902647512933e-15,8.881784197001252e-16
55,200,365,1.2,0.4,0.02,0,0.05,0.7,0.6,N(0.6,0.69999999859968,1.2892218387251047e-15,5.551115123125783e-16
56,200,365,1.2,0.4,0.02,0,0.05,0.7,0.6,0.15),0.6999999985960008,9.840672695080414e-16,6.661338147750939e-16
57,200,365,1.2,0.4,0.02,0,0.05,0.7,U(0.4,0.3,0.6999999985674199,2.3148882213323056e-15,5.551115123125783e-16
58,200,365,1.2,0.4,0.02,0,0.05,0.7,U(0.4,0.8,0.6999999985591372,7.608066043390511e-16,6.661338147750939e-16
59,200,365,1.2,0.4,0.02,0,0.05,0.7,U(0.4,N(0.6,0.6999999984960228,2.526031871799768e-15,6.661338147750939e-16
60,200,365,1.2,0.4,0.02,0,0.05,0.7,U(0.4,0.15),0.6999999985381461,9.902479906794307e-16,5.551115123125783e-16
61,200,365,1.2,0.4,0.02,0,0.05,0.7,0.9),0.3,0.6999999985383997,1.4225158984729612e-15,6.661338147750939e-16
62,200,365,1.2,0.4,0.02,0,0.05,0.7,0.9),0.8,0.6999999985000486,1.4977727461875692e-16,8.881784197001252e-16
